ATP7A,NTRK1,TRAF6,TNFRSF13B
ATP7A,SOD3,SQSTM1,GABARAPL1,LMF2,HTR3B
ATP7A,OCLN,SIGLECL1,ELAPOR2
ATP7A,SOD3,SQSTM1,GABARAPL1,TMC8
ATP7A,OCLN,RAB8B,MICALL2
ATP7A,NTRK1,RAB11A,DENND4C
ATP7A,CLU,DLG4,DRD1
ATP7A,CLU,IKBKB,TANK,ACSL6
ATP7A,NTRK1,MSH6,EXO1
ATP7A,NTRK1,FKBP5,PI4KA
ATP7A,NTRK1,YWHAE,REM1
ATP7A,NTRK1,TUBB3,HSPA2
ATP7A,LYN,AR,SLC43A1
ATP7A,OCLN,ROR1
ATP7A,LYN,ARF6,NMT2
ATP7A,TMEM59,ABCA3,MARCHF4,ABCA7
ATP7A,LYN,ZDHHC5
ATP7A,LYN,ERBB3,SELENOK
ATP7A,NTRK1,MYC,CECR2,KREMEN1
ATP7A,NTRK1,AUP1,SURF4
ATP7A,NTRK1,VIM,WHRN,OR1D5
ATP7A,LYN,SRC,FCER1A,OR10H2
ATP7A,LYN,RHOC,SLC30A5
ATP7A,NTRK1,GNB1,MC2R,RAMP1
ATP7A,CLU,IKBKB,TANK,UNC13A
ATP7A,SOD3,SQSTM1,GABARAPL1,TGFBI
ATP7A,NTRK1,TARDBP,ATF3,KCNJ5
ATP7A,NTRK1,YWHAE,REM1
ATP7A,NTRK1,RHOBTB3,RTN4R
ATP7A,CLU,LRP2,SYNJ2BP,SULF2
ATP7A,CLU,TMPO,HDAC11,YIPF4
ATP7A,CLU,TMPO,HDAC11
ATP7A,NTRK1,STUB1,EIPR1,DGKH
ATP7A,LYN,SYK,SIRPB1
ATP7A,NTRK1,RDX
ATP7A,NTRK1,DVL2,RPGRIP1L
ATP7A,TMEM59,TMEM192,PLPP2
ATP7A,LYN,FGFR2
ATP7A,NTRK1,RACK1,KCNAB1
ATP7A,CLU,TMPO,HDAC11,LEPROTL1,TMEM50B
ATP7A,NTRK1,HNRNPA1,ANXA1
ATP7A,CLU,BCL2L1,LARP1,PHB
ATP7A,NTRK1,RACK1,KCNAB1,SLC44A2
ATP7A,LYN,ADCY3
ATP7A,NTRK1,DCTN1,HAUS6,MS4A10
ATP7A,NTRK1,ABL1,WNK2
ATP7A,NTRK1,STAT3,PTPRD
ATP7A,NTRK1,CDK2,NTNG1
ATP7A,NTRK1,PTK2,EPS8L2
ATP7A,LYN,F2RL1,SERPINB2
ATP7A,LYN,TOLLIP,SLC38A2
ATP7A,NTRK1,RACK1,KCNAB1
ATP7A,NTRK1,ATP12A
ATP7A,NTRK1,RAB11A,DENND4C
ATP7A,LYN,IRAK2
ATP7A,NTRK1,RHOBTB3,RTN4R
ATP7A,NTRK1,ENAH,AJUBA
ATP7A,NTRK1,PTPN1,ASGR2
ATP7A,LYN,ARHGAP39,KCNE3
ATP7A,NTRK1,DSG2,PKP2
ATP7A,NTRK1,RACK1,KCNAB1
ATP7A,CLU,TMPO,HDAC11
ATP7A,TMEM59,CEACAM21,PVR,MICA
ATP7A,NTRK1,CYFIP1,MYO16
ATP7A,NTRK1,STAM2,LITAF,SNF8
ATP7A,NTRK1,FLNA,PHLDB2
ATP7A,NTRK1,PRKCA,AKAP5
ATP7A,NTRK1,RAB11A,DENND4C
ATP7A,NTRK1,TUBB3,HSPA2,KCNG3
ATP7A,NTRK1,RPS6KA1,PEPD,TESC
ATP7A,CLU,TMPO,HDAC11
ATP7A,SOD3,SQSTM1,GABARAPL1,GJA4
ATP7A,NTRK1,RACK1,KCNAB1
ATP7A,NTRK1,RACK1,KCNAB1
ATP7A,NTRK1,RACK1,KCNAB1
ATP7A,NTRK1,ABL1,WNK2
ATP7A,CLU,APP,APBB2,LAMP3
ATP7A,CLU,TMPO,HDAC11,BRPF1
