ATP7B,ZBTB16,ESR1,STOM
ATP7B,copper(1+),SOD1,RNF112,ZNRF1
ATP7B,copper(1+),SOD1,RNF112,GAS6,PCDHA3
ATP7B,copper(1+),SOD2,ENO3,ADCY9
ATP7B,copper(1+),SOD1,RNF112,IL17RA,IL17RE
ATP7B,ZBTB16,TRIM27,TRIM9,PARVB
ATP7B,ZBTB16,RARA,MED1,HMOX1,CYBRD1
ATP7B,GOLGA1,VAMP2,EXOC3,SV2C
ATP7B,NRG1,MYO19,FLNB
ATP7B,copper(1+),SOD1,RNF112,RASSF2
ATP7B,ZBTB16,TRAF2,LRRN2,OR1M1
ATP7B,ZBTB16,ESR1,STOM
ATP7B,ZBTB16,RSAD2,TRAF6,KLRB1
ATP7B,GOLGA1,GOLGB1,DNAJC5
ATP7B,ZBTB16,MAP3K3,STUB1,RGS12
ATP7B,ZBTB16,CEBPA,C1QBP
ATP7B,ZBTB16,TP53,RAD51,GBA2
ATP7B,ZBTB16,RARA,MED1,KCNJ1
ATP7B,ZBTB16,HTT,HADHA,SNX33
ATP7B,ZBTB16,SMAD3,PPARG,ANGPT1
ATP7B,GOLGA1,VAMP4,STX8
ATP7B,ZBTB16,HDAC4,RFXANK,ATP11B
ATP7B,GOLGA1,GOLGB1,DNAJC5,MMP15
ATP7B,ZBTB16,NR3C1,ZFX,CNKSR2
ATP7B,ZBTB16,FHL5,ZBTB33
ATP7B,copper(1+),SOD1,RNF112,SLC7A6
ATP7B,ATOX1,TAGLN2,CFL1,PRKD1
ATP7B,ZBTB16,RARA,MED1,CAVIN1
ATP7B,ZBTB16,RARA,MED1,KIAA0319
ATP7B,ZBTB16,ESR1,STOM
ATP7B,NRG1,EGFR,IFIT5,LAG3
ATP7B,copper(1+),SOD1,RNF112,GRIA1
ATP7B,ZBTB16,CEBPA,C1QBP
ATP7B,ZBTB16,CYP27B1,TAF7,PDE6G
ATP7B,copper(1+),SOD1,RNF112,GRIP2,PRLHR
ATP7B,ZBTB16,MAP3K3,STUB1,CCR5
ATP7B,ZBTB16,EZH2,FBXW11,RGMB
ATP7B,NRG1,ERBB2,CDH2
ATP7B,ZBTB16,MAP3K3,STUB1,HTR4
ATP7B,NRG1,ERBB2,CDH2
ATP7B,copper(1+),SOD2,ENO3,MIGA2
ATP7B,ZBTB16,LRIG1,PDGFRA
ATP7B,ZBTB16,SMAD3,PPARG,HCN1
ATP7B,copper(1+),SOD1,RNF112,CDHR5,CDHR2
ATP7B,NRG1,ERBB2,CDH2,IQCJ-SCHIP1
ATP7B,CLU,DLG4,DRD1
ATP7B,copper(1+),SOD2,ENO3,RABGGTA
ATP7B,ZBTB16,HTT,HADHA,DRD5
