POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,HSCB,ZNF648,LRRC52
POLB,PCNA,RHOF,TIAM1,ITGA10
POLB,PCNA,RHOF,TIAM1,PHKA2
POLB,PCNA,RHOF,TIAM1,SIGLEC9
POLB,XRCC1,KLF6,NR0B2,ATP2B2
POLB,PCNA,P4HB,RIPK1,FPR2
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,H2BC8,CCDC25
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,YBX1,RBMXL2,CDV3
POLB,XRCC1,PARP1,RPA4,RTN3
POLB,PCNA,RHOF,TIAM1,KCNC1
POLB,PCNA,RHOF,TIAM1,APOB
POLB,PCNA,UBA52,ZFYVE19,RIC8A
POLB,PCNA,RHOF,TIAM1,ORAI1
POLB,H2BC21,ZMYM3,MXD3,KLRF1
POLB,PCNA,DHX15,SF3B5,PCDHGB3
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,POLD1,GINS4,MMP14
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,UBE2D3,BIRC7,CLCN5
POLB,PCNA,RHOF,TIAM1,SLC24A1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RELA,ASB9,NALCN,CHRM3
POLB,XRCC1,PARP1,RPA4,EXOC8
POLB,PCNA,NEDD8,EMG1,DCXR
POLB,PCNA,IGF1R,ADAMTS4,KLB
POLB,XRCC1,PARP1,RPA4,PLEKHG5
POLB,PCNA,EP300,TGS1,FCER1G,CD300C
POLB,PCNA,HSCB,ZNF648,TMED1
POLB,PCNA,EP300,TGS1,FCER2
POLB,PCNA,RHOF,TIAM1,ITGA1
POLB,PCNA,RHOF,TIAM1,STK16
POLB,PCNA,CDK5,STXBP1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1
POLB,PCNA,RHOF,TIAM1,PALM2AKAP2
POLB,PCNA,RHOF,TIAM1,CD247
POLB,XRCC1,PARP1,RPA4,LIN7C
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,RELA,ASB9,TESMIN,OR4X2
POLB,PCNA,EP300,TGS1,LRFN2
POLB,PCNA,P4HB,RIPK1
POLB,PCNA,UHRF2,ZNF410,CNNM2
POLB,XRCC1,PARP1,RPA4,BICD2
POLB,PCNA,RHOF,TIAM1,CNNM3
POLB,XRCC1,KLF10,TNS1,STX11
POLB,H2BC21,AKT1,TLR2
POLB,PCNA,PRDX3,ATP5F1B
POLB,PCNA,RPS20,EIF2S1,AQP7
POLB,PCNA,RHOF,TIAM1,PSCA
POLB,PCNA,UBC,TBC1D15,IL17RC
